device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Asus 48,Android,12.83,yes,no,8.0,5.0,16.0,4.0,3010.0,160.0,2016,1003,4.210645018,5.01349786
Asus 49,Android,12.7,yes,no,8.0,5.0,16.0,4.0,2500.0,153.0,2016,624,3.985273467,4.700934808
Asus 50,Android,10.29,no,no,5.0,0.3,32.0,4.0,1600.0,133.5,2015,727,3.822973189,4.264087337
Asus 51,Android,12.7,no,no,8.0,2.0,16.0,4.0,2070.0,140.0,2016,571,3.994708372,5.067456614
Asus 52,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3000.0,170.1,2015,862,4.421367533,5.191177491
Asus 53,Android,12.83,yes,no,13.0,5.0,32.0,4.0,3000.0,185.0,2015,700,4.787658396,5.52469568
Asus 54,Android,25.43,no,no,5.0,2.0,32.0,4.0,4890.0,510.0,2015,999,4.783483721,5.080036971
Asus 55,Android,12.7,no,no,8.0,2.0,32.0,4.0,2070.0,135.0,2015,840,3.8019849,4.85624014
Asus 56,Android,12.83,yes,no,13.0,5.0,32.0,4.0,5000.0,202.0,2015,1089,4.658521361,5.134915695
Asus 57,Android,12.83,yes,no,13.0,5.0,64.0,4.0,3000.0,170.0,2015,715,4.799502655,5.857675979
Asus 58,Android,15.24,yes,no,13.0,5.0,16.0,4.0,3000.0,190.0,2015,997,4.457018145,5.597532675
Asus 59,Android,15.24,yes,no,13.0,5.0,16.0,4.0,3000.0,190.0,2015,1014,4.309590341,5.734117674
Asus 60,Android,12.83,yes,no,13.0,5.0,32.0,4.0,3000.0,170.0,2015,880,4.657762636,5.402001478
Asus 61,Android,12.7,no,no,8.0,5.0,32.0,4.0,2040.0,140.0,2015,989,4.358374106,5.299366816
Asus 62,Android,12.7,yes,no,13.0,5.0,32.0,4.0,2400.0,140.0,2015,592,4.450736133,5.354508646
Asus 63,Android,17.78,no,no,8.0,2.0,16.0,4.0,3500.0,272.0,2015,885,4.565389316,5.071604954
Asus 64,Android,12.7,yes,no,8.0,2.0,32.0,4.0,2500.0,155.1,2015,568,4.193435465,4.690797272
Asus 65,Android,12.83,yes,no,13.0,8.0,32.0,4.0,3030.0,156.0,2015,777,4.337421451,5.704215714
Asus 66,Android,20.32,yes,no,5.0,2.0,32.0,4.0,4000.0,350.0,2015,747,4.529476342,5.6327876
Asus 67,Android,17.78,no,no,5.0,0.3,32.0,4.0,3450.0,265.0,2015,934,4.135166557,4.958569772
Asus 68,Android,12.83,yes,no,13.0,13.0,16.0,4.0,3000.0,170.0,2015,794,4.831986983,5.635682062
Asus 69,Android,12.7,yes,no,8.0,2.0,16.0,4.0,2500.0,155.0,2015,953,3.777119243,5.199325417
Asus 70,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3000.0,170.0,2015,685,4.547223226,5.52058053
Asus 71,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3000.0,170.0,2015,749,4.75272775,5.702681869
Asus 72,Android,17.78,yes,no,5.0,2.0,32.0,4.0,3950.0,299.0,2015,970,4.703928958,5.393491173
Asus 73,Android,10.29,no,no,5.0,0.3,32.0,4.0,2100.0,150.0,2015,547,3.678829118,4.503801692
Asus 74,Android,17.78,no,no,5.0,2.0,32.0,4.0,3950.0,280.0,2015,557,4.518195172,5.080472254
Asus 75,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3000.0,185.0,2015,626,4.271932712,5.991164502
Asus 76,Android,12.7,yes,no,8.0,5.0,32.0,4.0,2500.0,140.0,2014,857,4.17699924,4.373490304
Asus 77,Android,12.7,no,no,8.0,0.3,1024.0,4.0,2500.0,160.0,2014,860,3.523119986,4.594412529
Asus 78,Android,25.43,no,no,5.0,0.3,32.0,4.0,5000.0,525.0,2014,1059,4.727387819,5.297917287
Asus 79,Android,10.29,yes,no,5.0,2.0,32.0,4.0,2060.0,148.8,2014,1023,4.219654753,5.078729985
Asus 80,Android,17.78,yes,no,5.0,2.0,16.0,4.0,3950.0,279.0,2014,583,4.191773708,5.482553756
Asus 81,Android,17.78,no,no,5.0,2.0,16.0,4.0,3950.0,269.0,2014,1022,4.226249633,5.480555587
Asus 82,Android,12.7,yes,no,8.0,2.0,32.0,4.0,2110.0,145.0,2014,595,4.397653891,5.344246298
Asus 83,Android,10.29,no,no,8.0,0.3,32.0,4.0,1750.0,134.0,2014,772,3.976123931,4.606669062
Asus 84,Android,20.32,yes,no,5.0,1.2,16.0,4.0,4000.0,299.0,2014,801,4.597541159,5.483011107
Asus 85,Android,20.32,no,no,5.0,2.0,16.0,4.0,4000.0,320.0,2014,846,4.494015137,5.010368592
Asus 86,Android,17.78,no,no,5.0,2.0,32.0,4.0,3950.0,295.0,2014,731,4.357990057,4.868380247
Asus 87,Android,20.32,no,no,5.0,2.0,32.0,4.0,2865.0,328.0,2014,645,4.374624305,5.297567085
Asus 88,Android,17.78,no,no,2.0,0.3,32.0,4.0,2865.0,299.0,2014,766,4.151197374,4.87458645
Asus 89,Android,17.78,no,no,5.0,2.0,32.0,4.0,2865.0,299.0,2014,705,4.252202647,5.345010095
Asus 90,Android,25.43,yes,no,5.0,1.2,16.0,4.0,6600.0,595.0,2014,1013,5.262690189,5.991939434
Asus 91,Android,25.43,no,no,2.0,0.3,32.0,4.0,5000.0,550.0,2014,800,4.811126886,5.395398704
Asus 92,Android,17.78,no,no,2.0,0.3,16.0,4.0,3910.0,290.0,2014,679,4.073971772,4.61244367
Asus 93,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2300.0,150.0,2014,1081,4.474377896,5.772997544
Asus 94,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2300.0,150.0,2014,1013,4.700207601,5.524177225
Asus 95,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2400.0,145.0,2014,956,4.242620879,6.235586505
Asus 96,Android,10.34,no,no,13.0,1.2,1024.0,4.0,1820.0,126.0,2014,772,5.494952658,5.555011741
Asus 97,Android,15.24,no,no,13.0,2.0,16.0,4.0,3230.0,196.0,2014,947,4.419924358,5.301362725
Asus 98,Android,15.24,no,no,13.0,2.0,16.0,4.0,3300.0,196.0,2014,665,4.567468319,5.53057922
Asus 99,Android,12.7,no,no,8.0,2.0,32.0,4.0,2110.0,145.0,2015,583,3.75630443,4.780551045
Asus 100,Android,12.7,no,no,8.0,2.0,32.0,4.0,2110.0,145.0,2014,794,4.253482784,4.859657354
Asus 101,Android,10.16,no,no,5.0,0.3,16.0,4.0,2865.0,115.0,2014,910,4.012411179,4.86591776
Asus 102,Android,10.29,yes,no,5.0,2.0,32.0,4.0,2060.0,150.0,2014,635,4.365388994,5.707176708
Asus 103,Android,10.16,no,no,8.0,2.0,32.0,4.0,1170.0,116.0,2014,824,4.284551613,5.34958066
Asus 104,Android,10.24,no,no,8.0,2.0,16.0,4.0,1500.0,105.0,2013,604,4.594210346,5.668224379
Asus 105,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2400.0,145.0,2013,654,5.187720945,6.592989738
Asus 106,Android,25.43,no,no,2.0,1.2,32.0,4.0,5070.0,522.0,2013,754,4.59036107,5.525612289
Asus 107,Android,20.32,no,no,5.0,1.2,16.0,4.0,3950.0,350.0,2013,847,4.469694046,5.015092015
Asus 108,Android,17.78,yes,no,5.0,1.2,32.0,4.0,3950.0,328.0,2013,550,4.584252938,5.404612445
Asus 109,Android,17.78,yes,no,5.0,1.2,16.0,4.0,3950.0,290.0,2013,1083,4.400480313,5.442461
Asus 110,Android,15.24,no,no,8.0,1.2,16.0,4.0,3200.0,210.0,2013,1040,4.730392151,5.858932655
Asus 111,Android,25.43,no,no,5.0,1.2,32.0,4.0,3950.0,585.0,2013,549,5.275355755,5.992988385
Asus 112,Android,17.78,no,no,2.0,0.3,32.0,4.0,3950.0,302.0,2013,643,4.327834406,4.601664047
Asus 113,Android,17.78,no,no,5.0,1.2,16.0,4.0,3950.0,302.0,2013,674,4.273605886,4.859967431
Asus 114,Android,17.78,no,no,3.15,1.2,32.0,4.0,4270.0,340.0,2013,869,4.226541732,5.561335264
Asus 115,Android,12.7,yes,no,13.0,2.0,32.0,4.0,2400.0,141.0,2013,614,5.698535399,6.908245159
Asus 116,Android,25.43,no,no,5.0,1.2,16.0,4.0,3950.0,580.0,2013,887,4.987912407,5.431973751
Asus 117,Android,17.78,no,no,1.0,1.2,32.0,4.0,4270.0,370.0,2013,753,4.162781724,4.695741884
Asus 118,Android,12.75,yes,no,13.0,8.0,32.0,4.0,5000.0,168.0,2017,593,4.961094849,5.797970813
Others 132,Android,10.29,yes,no,8.0,0.3,16.0,4.0,1840.0,128.0,2014,710,3.925136645,4.385395952
Others 133,Android,12.7,yes,no,13.0,2.0,16.0,4.0,2520.0,135.0,2014,933,4.12341781,4.6025668
Others 134,Android,10.29,no,no,13.0,2.0,16.0,4.0,2100.0,119.0,2013,704,4.287166354,5.300564839
Others 135,Android,10.29,no,no,8.0,2.0,16.0,4.0,2000.0,135.0,2013,1011,3.930255774,5.011301739
BlackBerry 0,Android,10.29,yes,no,9.5,8.0,32.0,4.0,3000.0,156.0,2018,552,4.061304708,5.802299628
BlackBerry 1,Android,15.21,yes,no,9.5,16.0,64.0,4.0,4000.0,170.0,2018,629,4.693913396,5.853035466
BlackBerry 2,Android,15.21,yes,no,9.5,16.0,64.0,4.0,4000.0,170.0,2018,383,4.946274535,5.709300555
BlackBerry 3,Android,10.29,yes,no,9.5,8.0,64.0,4.0,3500.0,168.0,2018,471,4.107918682,6.217444073
BlackBerry 4,Android,12.83,yes,no,12.0,8.0,32.0,4.0,4000.0,167.0,2017,561,4.578518155,5.966274936
BlackBerry 5,Android,12.83,yes,no,13.0,8.0,32.0,4.0,3000.0,178.0,2017,607,4.475175389,5.301562097
BlackBerry 6,Android,10.29,yes,no,12.0,8.0,64.0,4.0,3500.0,180.0,2017,554,4.682131227,5.671982162
BlackBerry 7,Android,12.83,yes,no,21.0,8.0,32.0,4.0,3000.0,165.0,2016,560,5.008098746,5.701312761
BlackBerry 8,Android,12.75,yes,no,13.0,8.0,16.0,4.0,2610.0,135.0,2016,920,4.346269915,5.299117047
BlackBerry 9,Android,12.8,yes,no,18.0,2.0,32.0,4.0,3410.0,192.0,2015,805,4.513054897,5.601306683
BlackBerry 10,Others,12.7,yes,no,8.0,2.0,16.0,4.0,2800.0,170.0,2015,1094,4.085471984,4.385894146
BlackBerry 11,Others,7.75,yes,no,13.0,2.0,16.0,4.0,2500.0,178.0,2015,903,4.250350663,5.198773236
BlackBerry 12,Others,7.65,yes,no,8.0,2.0,64.0,4.0,2100.0,140.0,2014,617,4.214495163,6.063994489
BlackBerry 13,Others,10.29,yes,no,13.0,2.0,32.0,4.0,3450.0,196.0,2014,582,4.335982696,5.136268915
BlackBerry 14,Others,7.75,yes,no,8.0,2.0,16.0,4.0,2515.0,177.0,2014,831,3.798406279,4.781054401
BlackBerry 15,Others,12.7,no,no,5.0,1.1,32.0,4.0,2500.0,164.0,2014,696,3.739572568,4.495801649
BlackBerry 16,Others,10.21,yes,no,8.0,2.0,64.0,4.0,1800.0,140.0,2013,625,4.549128795,5.964966556
BlackBerry 17,Others,12.7,yes,no,8.0,2.0,16.0,4.0,2880.0,170.0,2013,574,4.085640122,4.953782716
BlackBerry 18,Others,5.28,no,no,5.0,2.0,512.0,0.25,1450.0,120.0,2013,774,4.852264611,4.869378902
BlackBerry 19,Others,7.65,yes,no,5.0,2.0,32.0,4.0,2180.0,120.0,2013,760,3.602776755,4.234106505
BlackBerry 20,Others,10.21,yes,no,8.0,2.0,16.0,4.0,1800.0,137.5,2013,932,4.014940539,4.790819533
BlackBerry 21,Others,7.65,yes,no,8.0,2.0,16.0,4.0,2100.0,139.0,2013,814,3.969725716,4.6987516
Others 136,Android,12.88,yes,no,12.0,5.0,16.0,4.0,4180.0,165.0,2018,531,4.042700329,4.574195382
Others 137,Android,12.88,yes,no,13.0,5.0,64.0,4.0,3180.0,167.5,2017,784,4.55008022,5.138617988
Others 138,Android,12.83,yes,no,13.0,8.0,64.0,4.0,6180.0,167.5,2017,720,4.422208424,5.515241618
Others 139,Android,12.7,no,no,13.0,5.0,16.0,4.0,2800.0,169.0,2017,751,3.196221134,4.256746818
Others 140,Android,12.7,yes,no,13.0,5.0,16.0,4.0,2800.0,176.0,2017,872,4.132282402,4.369954053
Others 141,Android,12.7,no,no,13.0,2.0,32.0,4.0,2800.0,176.0,2017,565,3.04594999,4.069710281
Others 142,Android,12.88,no,no,13.0,5.0,16.0,4.0,3000.0,174.0,2018,597,4.099497927,4.61005822
Others 143,Android,12.7,yes,no,13.0,8.0,64.0,4.0,3000.0,152.0,2017,895,4.715995741,5.126995095
Others 144,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,150.0,2016,1083,3.917010547,4.376385755
Others 145,Android,12.83,yes,no,13.0,5.0,32.0,4.0,3150.0,142.6,2016,599,4.541591204,5.48147191
Others 146,Android,15.24,yes,no,24.0,8.0,64.0,4.0,3500.0,207.0,2015,858,4.646695933,5.738538106
Others 147,Android,15.24,no,no,8.0,2.0,32.0,4.0,3000.0,177.0,2015,569,4.243339115,4.707185111
Others 148,Android,12.7,no,no,8.0,2.0,32.0,4.0,5000.0,180.0,2015,862,3.995260604,4.941356667
Others 149,Android,12.7,no,no,5.0,0.3,16.0,4.0,2000.0,156.0,2015,572,3.916015027,4.371597439
Others 150,Android,12.7,no,no,8.0,2.0,32.0,4.0,2100.0,154.0,2015,789,3.903990834,4.803365092
Others 151,Android,10.36,no,no,8.0,5.0,16.0,4.0,2100.0,97.0,2015,889,3.827771453,5.243808381
Others 152,Android,15.24,yes,no,13.0,5.0,16.0,4.0,3200.0,177.0,2014,740,4.159195535,5.355642433
Others 153,Android,12.7,yes,no,13.0,5.0,32.0,4.0,2200.0,164.0,2014,608,4.356452384,5.007630785
Others 154,Android,17.78,no,no,5.0,2.0,32.0,4.0,3000.0,299.0,2014,1090,4.373112017,4.876417952
Others 155,Android,10.16,no,no,3.15,0.3,16.0,4.0,1400.0,106.0,2014,856,3.064325065,4.263665307
Others 156,Windows,12.7,no,no,8.0,2.0,32.0,4.0,2200.0,139.0,2014,637,4.260000234,5.003610679
Others 157,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,166.0,2014,1042,4.001315113,4.703747749
Others 158,Android,12.7,no,no,5.0,0.3,16.0,4.0,1800.0,170.0,2014,874,3.798630318,4.391481793
Others 159,Android,12.7,no,no,13.0,5.0,16.0,4.0,2300.0,129.0,2014,959,4.394819456,5.563370321
Others 160,Android,12.7,no,no,8.0,2.0,32.0,4.0,2000.0,136.0,2014,979,4.027670429,5.009301071
Others 161,Android,12.83,no,no,16.0,8.0,32.0,4.0,2500.0,152.0,2014,696,4.694919478,5.670914871
Others 162,Android,15.24,no,no,8.0,2.0,16.0,4.0,3000.0,206.0,2014,632,4.038831852,5.190787834
Others 163,Android,10.29,no,no,3.15,0.3,16.0,4.0,1800.0,135.0,2014,980,3.301008654,4.231639696
Others 164,Android,7.75,no,no,1.3,2.0,512.0,0.25,1300.0,101.0,2014,1056,3.268808194,4.262398147
Others 165,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,155.0,2014,571,4.235265253,4.782814153
Others 166,Android,12.7,no,no,3.15,2.0,16.0,4.0,2100.0,174.0,2014,616,3.713572067,4.268017718
Others 167,Android,12.83,no,no,8.0,2.0,16.0,4.0,2350.0,166.0,2014,976,3.936130081,4.872139217
Others 168,Android,10.29,no,no,8.0,2.0,16.0,4.0,3000.0,149.0,2014,790,4.224202549,5.242328856
Others 169,Android,10.36,no,no,8.0,5.0,16.0,4.0,2000.0,135.0,2014,1024,4.057507672,5.074173315
Others 170,Android,20.32,no,no,5.0,5.0,32.0,4.0,4500.0,404.0,2014,614,4.431649785,5.885298151
Others 171,Android,10.34,no,no,8.0,5.0,16.0,4.0,1800.0,109.0,2014,725,3.768614422,4.860819649
Others 172,Android,12.7,no,no,13.0,5.0,16.0,4.0,2000.0,133.0,2014,639,4.504244267,5.349485653
Others 173,Android,12.7,no,no,12.0,2.0,16.0,4.0,2000.0,144.0,2014,988,4.24506078,4.93820796
Others 174,Android,10.34,no,no,8.0,2.0,16.0,4.0,1800.0,125.0,2013,581,3.586569835,5.306434335
Others 175,Android,12.7,no,no,13.0,5.0,32.0,4.0,2020.0,128.0,2013,1038,4.220242729,5.484215852
Others 176,Android,12.7,no,no,5.0,0.3,16.0,4.0,2000.0,155.0,2013,909,3.621938048,4.489983776
Others 177,Android,10.16,no,no,5.0,0.3,16.0,4.0,1600.0,124.0,2013,782,3.670460869,4.381776603
Others 178,Android,12.7,no,no,12.0,5.0,16.0,4.0,2500.0,158.0,2013,729,4.0084235,5.346011692
Others 179,Android,12.83,no,no,5.0,0.3,16.0,4.0,2250.0,184.0,2013,728,3.664842876,4.774406503
Others 180,Others,5.08,no,no,1.3,0.3,128.0,0.25,820.0,80.0,2013,905,2.212660385,3.041183536
Others 181,Others,5.08,no,no,0.3,0.3,32.0,0.25,820.0,80.0,2013,636,1.53686722,3.042138646
Others 182,Others,5.28,no,no,1.3,0.3,32.0,0.25,820.0,90.0,2013,695,2.337952237,3.041183536
Others 183,Android,12.7,no,no,5.0,0.3,16.0,4.0,2000.0,128.0,2013,816,3.555348061,4.615813346
Others 184,Android,10.16,no,no,3.15,0.3,16.0,4.0,1500.0,128.0,2013,566,3.215269329,4.379398183
Others 185,Android,7.75,no,no,2.0,0.3,512.0,0.25,1000.0,105.0,2013,897,2.714694744,3.71210758
Others 186,Android,10.29,no,no,5.0,0.3,16.0,4.0,2000.0,144.0,2013,1028,3.847377812,4.623108331
Others 187,Android,10.16,no,no,5.0,0.3,16.0,4.0,1600.0,137.0,2013,793,3.888549649,4.606569207
Others 188,Android,12.78,no,no,8.0,2.0,16.0,4.0,2800.0,190.0,2013,1006,4.27652722,4.856551279
Others 189,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,170.0,2013,855,4.016563185,4.865069877
Others 190,Android,12.7,no,no,5.0,0.3,16.0,4.0,2000.0,170.0,2013,909,3.929666441,4.611549793
Others 191,Android,7.75,no,no,2.0,0.3,512.0,0.25,1500.0,120.0,2013,1038,3.405521353,4.397161522
Others 192,Others,5.28,no,no,1.3,0.3,64.0,0.25,1400.0,95.0,2013,729,2.709382646,3.362802994
Others 193,Others,5.18,no,no,0.3,0.3,32.0,0.25,820.0,90.0,2013,883,2.460443178,3.394843908
Others 194,Others,5.08,no,no,1.3,0.3,64.0,0.25,620.0,69.0,2013,990,2.23644529,3.007166651
Others 195,Android,12.88,no,no,12.0,5.0,16.0,4.0,2600.0,220.0,2013,689,4.199755077,5.439947129
Others 196,Android,12.7,no,no,13.0,5.0,16.0,4.0,2000.0,145.0,2013,745,4.192076051,5.442028024
Others 197,Android,10.34,no,no,8.0,2.0,16.0,4.0,1800.0,125.0,2013,902,3.581572601,5.187665096
Others 198,Android,12.78,no,no,8.0,2.0,16.0,4.0,2200.0,210.0,2013,956,4.004602187,5.072545364
Others 199,Android,12.88,no,no,8.0,1.3,16.0,4.0,2800.0,243.0,2013,1060,4.416186486,5.398207949
Others 200,Android,10.29,no,no,8.0,1.3,16.0,4.0,1800.0,148.0,2013,608,4.153242203,5.562180507
Others 201,Android,10.29,no,no,5.0,0.3,16.0,4.0,1800.0,145.0,2013,850,4.231784971,5.195453731
Others 202,Android,14.35,yes,no,12.0,8.0,128.0,4.0,3100.0,168.0,2018,578,5.086608193,5.969039986
Others 203,Android,14.35,yes,no,12.0,8.0,64.0,4.0,3100.0,163.0,2018,586,4.579339426,5.736894826
Others 204,Android,12.83,yes,no,12.0,8.0,64.0,4.0,3400.0,183.0,2018,567,4.464067345,5.440381006
Others 205,Android,12.75,yes,no,12.0,8.0,64.0,4.0,3100.0,165.0,2018,454,4.472552661,5.245391161
Others 206,Android,12.75,yes,no,8.0,5.0,16.0,4.0,3100.0,155.0,2017,819,4.286753954,5.127825562
Others 207,Android,12.75,yes,no,13.0,5.0,32.0,4.0,3100.0,155.0,2017,890,4.279024447,5.240158452
Others 208,Android,12.83,yes,no,12.0,8.0,64.0,4.0,3400.0,183.0,2017,809,4.722508678,5.560950826
Others 209,Android,12.75,yes,no,12.0,8.0,64.0,4.0,3100.0,165.0,2017,756,4.511189123,5.346154696
Others 210,Android,12.75,yes,no,12.0,8.0,64.0,4.0,3100.0,158.0,2017,564,4.784821514,5.911744704
Others 211,Android,12.75,yes,no,16.0,8.0,32.0,4.0,3100.0,153.0,2017,843,4.623501143,5.670983763
Others 212,Android,12.7,yes,no,8.0,5.0,16.0,4.0,3080.0,140.0,2016,789,4.054563692,5.069595787
Others 213,Android,12.7,yes,no,13.0,5.0,16.0,4.0,3080.0,140.0,2016,992,4.606369467,5.247602852
Others 214,Android,12.7,yes,no,16.0,5.0,32.0,4.0,3050.0,139.0,2016,681,4.653579325,5.393536633
Others 215,Android,12.7,yes,no,16.0,8.0,16.0,4.0,3200.0,145.0,2016,546,4.3447141,5.700978547
Others 216,Android,12.7,yes,no,13.0,5.0,16.0,4.0,2850.0,139.0,2015,542,4.604670061,5.336094731
Others 217,Android,12.7,yes,no,13.0,5.0,16.0,4.0,2900.0,148.0,2015,863,4.432719749,5.444407072
Others 218,Android,12.7,yes,no,13.0,5.0,16.0,4.0,3120.0,144.0,2015,889,4.733827218,5.561911643
Others 219,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3620.0,162.0,2015,774,4.765331338,5.694876265
Others 220,Android,10.29,yes,no,8.0,5.0,32.0,4.0,2470.0,115.0,2015,928,4.127295662,5.190565104
Others 221,Android,25.43,no,no,5.0,2.0,16.0,4.0,7280.0,470.0,2015,696,4.484018984,5.439773525
Others 222,Android,10.16,yes,no,8.0,1.3,16.0,4.0,1800.0,173.8,2013,575,4.069710281,5.597569744
Others 223,Others,5.18,yes,no,2.0,8.0,16.0,4.0,2300.0,130.0,2018,723,3.853121898,4.705739241
Others 224,Android,12.7,yes,no,13.0,8.0,32.0,4.0,5000.0,218.0,2017,745,4.969743853,6.107089701
Others 225,Android,10.34,yes,no,8.0,2.0,16.0,4.0,4000.0,200.0,2017,714,4.202301704,5.79963796
Others 226,Android,12.75,yes,no,16.0,8.0,64.0,4.0,4500.0,250.0,2018,443,4.777020443,6.802339206
Others 227,Android,10.34,yes,no,13.0,5.0,32.0,4.0,3800.0,153.0,2016,930,5.260511652,6.476695401
Others 228,Android,10.29,yes,no,5.0,2.0,32.0,4.0,3000.0,181.0,2015,759,4.81818259,5.828298349
Others 229,Android,10.34,yes,no,8.0,2.0,16.0,4.0,3000.0,185.0,2015,688,4.618875833,6.087229169
Others 230,Others,5.08,no,no,2.0,2.0,24.0,4.0,1000.0,101.0,2015,691,3.151453149,4.948263313
Others 231,Android,10.34,yes,no,8.0,0.3,32.0,4.0,2630.0,185.0,2014,1023,4.306898912,6.130073651
Others 232,Android,10.16,no,no,5.0,0.3,16.0,4.0,2000.0,170.0,2013,802,3.486151088,5.519819572
Others 233,Others,5.13,no,no,3.15,0.3,128.0,0.25,1150.0,136.0,2013,590,4.149621578,4.942784627
Others 234,Others,5.08,no,no,2.0,0.3,16.0,4.0,1300.0,161.0,2013,630,3.193763124,4.940784912
Celkon 0,Android,10.16,no,no,5.0,1.3,16.0,4.0,1400.0,122.0,2014,549,3.662792119,4.38688979
Celkon 1,Android,10.16,no,no,5.0,1.3,16.0,4.0,1400.0,122.0,2014,1035,3.493776563,4.390986376
Celkon 2,Android,10.16,no,no,5.0,1.3,16.0,4.0,1400.0,122.0,2014,573,3.654288009,4.398023008
Celkon 3,Android,12.7,no,no,8.0,2.0,16.0,4.0,1400.0,149.0,2014,995,4.085640122,4.786491242
Celkon 4,Android,12.7,no,no,5.0,0.3,32.0,4.0,1400.0,147.0,2014,661,3.950281718,4.474149924
Celkon 5,Android,10.16,no,no,3.15,1.3,512.0,0.25,1400.0,115.3,2014,932,3.028683374,4.093177214
Celkon 6,Android,10.29,no,no,8.0,1.3,16.0,4.0,2000.0,130.0,2014,1027,3.537184091,4.608664075
Celkon 7,Android,7.75,no,no,3.15,0.3,512.0,4.0,1400.0,102.0,2014,573,2.68988623,3.684118137
Celkon 8,Android,10.29,no,no,5.0,1.3,16.0,4.0,1400.0,78.2,2014,985,3.693120448,4.380149875
Celkon 9,Android,12.7,no,no,5.0,0.3,16.0,4.0,1400.0,140.0,2013,1059,3.758172281,4.053001599
Celkon 10,Android,10.29,no,no,5.0,1.3,16.0,4.0,1400.0,140.0,2013,965,3.765608987,4.505460342
Celkon 11,Android,7.75,no,no,3.15,0.3,512.0,0.25,1400.0,140.0,2013,567,2.911807039,3.905602438
Celkon 12,Others,7.75,no,no,1.3,0.3,256.0,0.25,1200.0,140.0,2013,836,2.466403178,3.349553149
Celkon 13,Others,5.18,no,no,1.3,0.3,256.0,0.25,1800.0,140.0,2013,586,2.333114298,2.951780386
Celkon 14,Others,5.28,no,no,1.3,0.3,256.0,0.25,1400.0,140.0,2013,561,2.063058062,3.025776395
Celkon 15,Others,5.23,no,no,1.3,0.3,256.0,0.25,1400.0,140.0,2013,796,2.242835089,3.023347441
Celkon 16,Others,5.23,no,no,0.3,0.3,256.0,0.25,1400.0,140.0,2013,687,2.315501318,3.068517943
Celkon 17,Android,12.7,no,no,8.0,1.3,16.0,4.0,1400.0,140.0,2013,567,3.898532415,4.507005937
Celkon 18,Android,10.16,no,no,3.15,0.3,512.0,0.25,1400.0,140.0,2013,637,2.800325477,3.884651809
Celkon 19,Android,10.16,no,no,3.15,0.3,256.0,0.25,1400.0,140.0,2013,778,3.116621591,4.070564034
Celkon 20,Android,7.75,no,no,1.3,0.3,256.0,0.25,1400.0,140.0,2013,945,2.884800713,3.934371409
Celkon 21,Android,12.7,no,no,12.0,3.0,16.0,4.0,1400.0,177.0,2013,779,4.035478809,5.297116646
Celkon 22,Android,10.16,no,no,5.0,0.3,512.0,0.25,1400.0,140.0,2013,942,3.171784217,4.256463412
Celkon 23,Android,10.34,no,no,8.0,0.3,256.0,0.25,1400.0,140.0,2013,831,4.312408568,4.930870326
Celkon 24,Others,10.16,no,no,2.0,0.3,256.0,0.25,1200.0,140.0,2013,635,2.85819286,3.639163862
Celkon 25,Others,7.75,no,no,2.0,0.3,256.0,0.25,1200.0,140.0,2013,569,2.877511642,3.659193144
Celkon 26,Others,5.18,no,no,1.3,0.3,256.0,0.25,1800.0,140.0,2013,899,2.35991016,2.977568303
Celkon 27,Others,5.18,no,no,1.3,0.3,256.0,0.25,1500.0,140.0,2013,818,2.429217744,3.383712067
Celkon 28,Others,5.23,no,no,1.3,0.3,256.0,0.25,1400.0,140.0,2013,980,2.621038824,3.683112859
Celkon 29,Others,5.23,no,no,1.3,0.3,256.0,0.25,3000.0,140.0,2013,787,2.584751985,3.384729189
Celkon 30,Android,11.76,no,no,5.0,0.3,256.0,0.25,1400.0,140.0,2013,857,4.335720882,4.787825021
Celkon 31,Android,11.76,no,no,8.0,0.3,256.0,0.25,1400.0,140.0,2013,563,4.493791598,4.883029169
Celkon 32,Android,7.75,no,no,3.15,0.3,256.0,0.25,1400.0,98.0,2013,1034,4.187075661,4.239454497
Coolpad 2,Android,15.29,yes,no,9.5,8.0,64.0,4.0,4000.0,177.0,2018,655,4.634146294,5.007095704
Coolpad 3,Android,12.83,yes,no,12.0,13.0,64.0,4.0,3200.0,152.0,2017,791,4.564348191,5.85904682
Coolpad 4,Android,12.7,yes,no,13.0,8.0,16.0,4.0,2500.0,148.0,2017,671,4.132121927,4.784570814
Coolpad 5,Android,12.83,yes,no,13.0,8.0,64.0,4.0,4060.0,167.0,2016,851,4.443004135,5.30420003
